bigeye|||Bigeyes have extremely large eyes adapted for nocturnal feeding.
yellow-jacket|||Yellow jacket colonies can grow to contain 4,000 or more workers by late summer.
northern-harrier|||Northern harriers have facial discs similar to owls that help them locate prey by sound.
deer-fly|||Deer flies are attracted to dark colors and carbon dioxide, similar to mosquitoes.
eastern-kingbird|||Eastern kingbirds are named for their aggressive territorial behavior, attacking birds much larger than themselves.
american-flamingo|||American flamingos are the most brightly colored of all flamingo species.
laysan-albatross|||The oldest known wild bird in the world is a Laysan albatross named Wisdom, over 70 years old.
eastern-hognose-snake|||Hognose snakes are famous for playing dead when threatened, rolling onto their backs with their mouths open.
cat-flea|||Cat fleas are the most common flea species on domestic pets worldwide.
african-grey-parrot|||African grey parrots are considered the most intelligent bird species, with cognitive abilities rivaling those of young children.
odorous-house-ant|||Odorous house ants smell like crushed coconut when squished.
carpenter-sea-urchin|||Has particularly strong teeth that can bore through solid coral rock.
cicada-killer-wasp|||The cicada killer is the largest wasp in North America and can be over 2 inches long.
golden-skink|||Golden skinks have a metallic, iridescent sheen that makes them look like they are coated in gold.
drywood-termite|||Drywood termites kick out tiny fecal pellets called frass that accumulate below infested wood.
gyrfalcon|||The gyrfalcon is the largest falcon in the world and was once reserved as a bird of kings.
willow-flycatcher|||Willow flycatchers are virtually identical to several other Empidonax flycatchers and are best identified by their distinctive FITZ-bew song.
oil-beetle|||Oil beetles secrete oily droplets from their joints that repel predators and can blister human skin.
june-bug|||June bugs are clumsy fliers and often bounce off windows and walls.
kissing-bug|||Kissing bugs are called so because they often bite people on the face while they sleep.
chinese-alligator|||Chinese alligators are the most endangered crocodilian species, with fewer than 150 individuals remaining in the wild.
angulate-tortoise|||Angulate tortoises are the most southerly distributed tortoise species in Africa, found even in the cool, wet Western Cape.
click-beetle|||Click beetles can launch themselves into the air with a clicking mechanism without using their legs.
peacock-cichlid|||Male peacock cichlids display brilliant blue, red, and gold colors during breeding.
christmas-tree-worm|||Can retract its colorful spiral plumes into its tube in less than a second.
elkhorn-coral|||Named for its broad, antler-like branches that resemble elk horns.
rhinoceros-hornbill|||The rhinoceros hornbills upward-curved casque can grow up to 7 inches long.
great-gray-owl|||The great gray owl is the tallest owl in North America, though much of its size is feathers.
blue-dasher-dragonfly|||Blue dashers can fly backwards and hover in place like a helicopter.
atlantic-ghost-crab|||Can run up to 10 mph and has stalked eyes that provide 360-degree vision.
scissor-tailed-flycatcher|||The scissor-tailed flycatchers long tail feathers can be twice as long as its body.
blue-catfish|||Blue catfish can grow over 100 pounds and are the largest freshwater fish in North America.
texas-rat-snake|||Texas rat snakes are excellent climbers and have been found in trees more than 40 feet high.
brazilian-horned-frog|||Brazilian Horned Frogs are ambush predators that can remain motionless for hours waiting for prey.
